epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,1.3440674842304334,0.04350521328597845,0.022236304221922545,1.2632359504699706,0.27659941369201585,0.1604962977786672
2,1.1891148929509512,0.487377666522957,0.32220710731054,1.1682856798171997,0.3637110016420361,0.2222779729051681
3,1.090155426829243,0.5409451022193233,0.37075034191114964,1.0923705101013184,0.41308028156464405,0.26030320044918587
4,1.0052049883902974,0.5628747517361279,0.3916671510824211,1.1150220394134522,0.45882482636974975,0.2977110157367668
5,0.9121839802070687,0.5804989828416278,0.40894580266219155,1.0616173982620238,0.42653838444578074,0.2710828025477707
6,0.7999814979259341,0.6071856110429629,0.43594151227690414,1.0759036064147949,0.49820645675567954,0.3317409766454352
7,0.6916083446802329,0.6364696291923648,0.46678067670423534,1.0431308269500732,0.46463321307532524,0.302620336086585
8,0.5817517486943939,0.6622044813962886,0.49499678552328163,0.8582310557365418,0.4175693133260459,0.2638784225069078
9,0.4824636516434188,0.6794622425629291,0.5145345059134427,0.5922636747360229,0.5715186879041161,0.4000883197173769
10,0.42284389907139663,0.6876912910662739,0.5240316446768346,0.5568616211414337,0.5662535748331744,0.3949468085106383
11,0.3888289243252976,0.6926134274057889,0.529769420861846,0.4961403548717499,0.5826697892271663,0.4111037673496365
12,0.3639755202654265,0.6988368907187708,0.5370863081914555,0.5403211414813995,0.5589441769217051,0.3878712871287129
13,0.3502847911548038,0.7026704078451379,0.5416282894449387,0.5585436761379242,0.5208211143695015,0.352101506740682
14,0.3353958409898591,0.7087287667464901,0.5488612682563714,0.4550304293632507,0.6043243243243244,0.43299767621998453
15,0.32716500489013073,0.7115372496676408,0.5522373460032892,0.4432610034942627,0.5686635944700461,0.3972955569864778
16,0.3190690785016178,0.715769726189774,0.5573531015322765,0.5645748615264893,0.4641238670694864,0.3021883452176051
17,0.31025217284428747,0.7197836137566339,0.5622359012828669,0.45301633477211,0.5800302571860817,0.40848071595994034
18,0.3057085690271458,0.7227023138839875,0.5658057019437417,0.458730947971344,0.5902885778468983,0.4187300809021819
19,0.29948985207477,0.7269100233001032,0.5709808706407374,0.4467130720615387,0.6016679904686258,0.43027548991763703
20,0.2930247572973776,0.7319777375175632,0.5772593740464409,0.4596440136432648,0.5925430530011704,0.42100261344737466
21,0.2873542026090478,0.7366613220878646,0.5831067590721694,0.5090968072414398,0.5578416149068323,0.38681022880215343
22,0.28400164635519964,0.7384524969431716,0.5853544913321482,0.48097755312919616,0.5902805215329909,0.4187219730941704
23,0.2786925846536354,0.7429018188114608,0.5909656301539431,0.5841235876083374,0.4670712519667341,0.30469208211143695
24,0.2762243713497035,0.7449920361844273,0.5936153854509773,0.4294909656047821,0.597767253044655,0.42629674306393245
25,0.2735975647170738,0.7468786213315246,0.5960145872901257,0.4601134121417999,0.623020471224411,0.45245441795231417
