epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,1.3396807507933857,0.06394872929024394,0.03303049369493213,1.2472816024507796,0.3876554415902696,0.2404296523148982
2,1.1772002984430188,0.5197250660949678,0.35110036263595273,1.150303232426546,0.48515823195007685,0.3202699068527981
3,1.0857704807293378,0.5567029067443143,0.38571608669185636,1.0944901972400898,0.5130010219143862,0.34499083689676235
4,1.011764336412198,0.5628328477859371,0.39162657379056515,1.0933314148260622,0.42607866067581707,0.27071153432532313
5,0.9274968298796181,0.581356731700989,0.40979768817995404,1.0911556822913033,0.4754291704887957,0.3118445934330411
6,0.8263151515681424,0.6112452918924326,0.44013913207564653,1.0661195662556862,0.5091669650091387,0.34153185035389283
7,0.7172362713427558,0.6370643711306824,0.46742073333220197,1.123371206984228,0.02812382640720086,0.014262470830487631
8,0.6073477311854794,0.6628663975014766,0.4957368480328865,0.9099534044460375,0.6106029990428586,0.4394733820659038
9,0.5095246693241262,0.6831205878249215,0.518741945169161,0.8634881000129544,0.5299106119642448,0.3604614904895541
10,0.44829684403083775,0.6892439592400803,0.5258369504370062,0.8105901966289598,0.5456902414144849,0.375222842446737
11,0.407615859560506,0.6979462191668525,0.5360348623389861,0.7827828392690542,0.5793965950066183,0.40785246112324897
12,0.3828182707880145,0.7013329707953707,0.540040637841482,0.76032569822,0.6037781181487821,0.43243708324370833
13,0.36775735429142864,0.7046221389424807,0.5439510432633471,0.7332220874270614,0.5677410320442505,0.3963955155781515
14,0.35526523193652015,0.7103565321083668,0.5508162137785952,0.7551935649648005,0.599230847080255,0.4277870096091323
15,0.34487435291303653,0.7140083709244214,0.5552200766949617,0.7473469899625195,0.5873584857002863,0.41578735988900656
16,0.33743457291913553,0.7169558138677378,0.5587927692724298,0.7156292382551699,0.6011491250979368,0.42974496844778015
17,0.328136058286343,0.7232557428896647,0.5664844301133688,0.7199482753568766,0.6157828857533,0.4448600435694028
18,0.32262551905210146,0.7259968367347718,0.5698548148609504,0.7345570988801061,0.6121409535090316,0.4410685329009132
19,0.3174148290606674,0.729193018202353,0.5738031256098842,0.7315631673044088,0.6160894369849593,0.4451800957734749
20,0.312951820568875,0.7332079144483854,0.5787910445691771,0.7495314716076364,0.5962890330366571,0.42479473842582643
21,0.3082837526950509,0.7359902919162616,0.5822663285015717,0.7342459699329065,0.6198738170347003,0.4491428571428571
22,0.3044870675445717,0.7390480186869299,0.5861032217240624,0.7128258791505074,0.6068394451016238,0.43558471632574297
