epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,1.3282117519432695,0.08064849898612471,0.04201861875926482,1.2386778593063354,0.20933660933660933,0.11690450054884742
2,1.1638700644625484,0.5313517704563029,0.36179648725099517,1.1423114240169525,0.25287356321839083,0.14473684210526316
3,1.0730910716583641,0.5527333606843531,0.3819153607698151,1.0879290699958801,0.2099015243491164,0.1172569706103994
4,0.9955614791713423,0.5636883975706509,0.39245550660263384,1.070364959537983,0.3772908366533865,0.23250675178001473
5,0.8998225684206479,0.592942705878984,0.421406227277613,1.0959954932332039,0.29023708903373685,0.16975282781734394
6,0.7890209829165645,0.6216536988225312,0.45101415971550546,1.0799771919846535,0.41005714285714284,0.257906843013226
7,0.6825198796247963,0.643974722161691,0.47489875940091275,1.1228225827217102,0.3146730462519936,0.186713352891076
8,0.5799280196512725,0.6687908971432523,0.502393572661155,1.1453006155788898,0.4516040955631399,0.29165931934403105
9,0.5029519797215718,0.6782969448735081,0.513199195721457,1.0916300937533379,0.4301434740214515,0.27400177462289266
10,0.45299815625036743,0.6866895604901192,0.5228691860139233,0.887433335185051,0.3490741561087977,0.2114414511108726
11,0.4234914457156368,0.6912826513507156,0.5282138668553469,0.879292257130146,0.35218223969357926,0.21372644971862
12,0.40585946525966815,0.693187323556151,0.5304412300640365,0.8801230378448963,0.4815290716350787,0.31711444891051405
13,0.3893487515091558,0.7009151206721816,0.5395452843965469,0.8686896041035652,0.37034739454094295,0.22725542443852303
14,0.3813734868430551,0.7032692591318027,0.5423402383913136,0.8594442903995514,0.45891931902294597,0.297790585975024
15,0.37385186970909323,0.7076390885966026,0.5475553170578062,0.8631322868168354,0.4781432436280792,0.31418413173652693
16,0.3650644403425897,0.7118676531524449,0.5526354919155613,0.8697708398103714,0.3996911594389396,0.24975876487616597
17,0.3582919729245621,0.7157091673405354,0.5572796668325272,0.8682279251515865,0.3650637880274779,0.22328931572629052
18,0.3539780648504371,0.7199104687899137,0.5623907166160264,0.8532733023166656,0.4619296132744547,0.30033060727336003
19,0.3475394923524884,0.7239460760152482,0.5673318834007982,0.860509816557169,0.471758044468996,0.3086932947767938
20,0.34069461060988665,0.727016546359782,0.5711123300784536,0.8570741675794125,0.387339473342846,0.2401866151866152
21,0.3378899162872655,0.7296569694967184,0.5743779057910402,0.8582535311579704,0.3947250381268503,0.24589247792556165
22,0.3348846909175851,0.7321827641661148,0.5775144425170511,0.8678887188434601,0.4819532908704883,0.3174825174825175
23,0.33015901593243435,0.7376572590759225,0.5843557658009207,0.8595076240599155,0.45865791991253246,0.29757049122184787
24,0.327004639352685,0.7402332922262324,0.5875955346798746,0.8435273878276348,0.4777834525025536,0.31387351115584633
25,0.3238224605409687,0.742987866276364,0.5910745380598815,0.8511642776429653,0.4533886583679115,0.2931497048828474
26,0.3208679752292444,0.7444675265484021,0.5929496387311898,0.8424374349415302,0.47166222898440474,0.3086112493777999
27,0.31655112212845693,0.7470246548025501,0.5962006017642991,0.8435220010578632,0.4732250704603409,0.3099507735583685
28,0.3139135116558237,0.7508155864098404,0.6010446321948528,0.8526408039033413,0.4853223593964335,0.3204129686650969
29,0.3112306960412531,0.7535456844171038,0.6045513862774129,0.8527438193559647,0.46436781609195404,0.3023952095808383
30,0.3079852566925054,0.7566076315327354,0.6085027146060169,0.8603027425706387,0.4673584657822146,0.30493657867672264
31,0.3083151928004057,0.7563742089496419,0.6082008063782702,0.8385399840772152,0.449585635359116,0.28997772828507795
32,0.30328407643030453,0.7605998080034777,0.6136837906876909,0.8680340386927128,0.41119221411192214,0.25880551301684535
33,0.3012903638331816,0.7624565565345303,0.6161048814572823,0.858280573040247,0.46299071021875937,0.30122830961201014
34,0.2993758407767028,0.7636585955512375,0.6176761473840017,0.8495950363576412,0.45363160130256264,0.293352865775499
35,0.29729054074618366,0.7659222379452832,0.6206434160761772,0.8567684106528759,0.3775887943971986,0.23273310310804143
36,0.29561313121413374,0.7675694527879983,0.622809499914125,0.8635473325848579,0.45575655588276537,0.29513258263712316
37,0.29252349177940035,0.7704481097177349,0.6266088611688159,0.8778386861085892,0.43686574613209117,0.2794806300553427
38,0.2915435688353801,0.771801358709557,0.6284010849406585,0.8501456417143345,0.43365047571357035,0.2768542199488491
39,0.2894524199091341,0.7736975193642006,0.6309189874288297,0.8643953800201416,0.4616760347470618,0.3001162597575154
40,0.2877513012365984,0.7753428206182316,0.6331100929075026,0.8615185730159283,0.437734715337239,0.2801923076923077
41,0.28638622363126987,0.7769163632755267,0.635211149873755,0.8575381338596344,0.4508839558686694,0.29105886390938734
42,0.28430694632928705,0.7781890512842687,0.636914452356347,0.8623327501118183,0.46800410016107774,0.30548652265341236
43,0.2834020944644642,0.7793860943547675,0.63851975694376,0.865520216524601,0.48368248539261793,0.31898496240601504
44,0.28252440712100724,0.7804493745155983,0.639948320477148,0.8666914775967598,0.4646758922068463,0.3026565464895636
45,0.2806371707500885,0.781968327756193,0.6419934272445342,0.8588852435350418,0.4556321192518633,0.29502822800947004
46,0.2795263055405941,0.7823948421163623,0.642568600379675,0.8605835884809494,0.4737508796622097,0.31040206565842865
47,0.2779507095643211,0.784444004000036,0.6453376122378646,0.870332058519125,0.48106904231625836,0.31671554252199413
48,0.2764119215035236,0.7852704568649816,0.6464570334218818,0.8558296747505665,0.47489509477644337,0.31138519924098673
49,0.2747428855375933,0.7869043502615504,0.6486746122873422,0.8576126731932163,0.4448903156768325,0.28608291759848614
50,0.2738829053959495,0.78810915864969,0.6503136518232656,0.8615537323057652,0.4805175709454492,0.31623766208631704
